CoilCan 4.0.5   Matr.0682102243   11/03/2016

Date           TimeOn  TimeWork    Diam    Weight    TimeOn      Operatore
                (sec)     (sec)    (mm)      (kg)     (sec)

14/11/2013     45603     18286                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8       896      3806
                                     9         0         0
                                    10      5260     14480
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
15/11/2013     42907     17349                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      1118      6344
                                     9         0         0
                                    10      3419     11005
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
16/11/2013     38189     13999                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      2543     13999
                                     9         0         0
                                    10         0         0
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
18/11/2013     43697     17929                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8       632      4702
                                     9         0         0
                                    10      5763     13227
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
19/11/2013     42278     17442                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      1377      6775
                                     9         0         0
                                    10      3582     10667
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
20/11/2013     44557     16420                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      3183     16420
                                     9         0         0
                                    10         0         0
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
21/11/2013     41932     14318                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      1671      7867
                                     9         0         0
                                    10         0         0
                                    11         0         0
                                    12      2761      6451
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
22/11/2013     63331     10910                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8         0         0
                                     9         0         0
                                    10       579      1556
                                    11         0         0
                                    12      5625      9354
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
23/11/2013     51122      8610                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8         0         0
                                     9         0         0
                                    10      2947      8610
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
25/11/2013     41734     12235                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8         0         0
                                     9         0         0
                                    10      5673     12235
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
26/11/2013     41788     14885                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      1273      6284
                                     9         0         0
                                    10      3844      8601
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
27/11/2013     41650     14216                                     00 
                                     4         0         0
                                     5         0         0
                                     6         0         0
                                     7         0         0
                                     8      1276      4363
                                     9         0         0
                                    10      4324      9853
                                    11         0         0
                                    12         0         0
                                    13         0         0
                                    14         0         0
                                    15         0         0
                                    16         0         0
                                    17         0         0
                                    18         0         0
                                    19         0         0
                                    20         0         0
